product_id,coefficient
P1001,-2.22
P1002,-1.14
P1003,-1.31
P1004,-2.72
P1005,-1.02
P1006,-0.99
P1007,-2.47
P1008,-0.83
P1009,-2.2
P1010,-2.59
P1011,-2.63
P1012,-2.07
P1013,-2.25
P1014,-0.31
P1015,-0.9
P1016,-0.14
P1017,-0.53
P1018,-2.79
P1019,-2.46
P1020,-1.64
P1021,-2.68
P1022,-0.74
P1023,-2.43
P1024,-0.42
P1025,-1.44
P1026,-2.31
P1027,-2.58
P1028,-1.71
P1029,-1.87
P1030,-1.17
P1031,-1.58
P1032,-1.1
P1033,-1.5
P1034,-2.11
P1035,-1.11
P1036,-2.3
P1037,-0.4
P1038,-1.26
P1039,-2.58
P1040,-2.12
P1041,-2.76
P1042,-1.59
P1043,-2.55
P1044,-2.39
P1045,-2.72
P1046,-2.74
P1047,-2.6
P1048,-1.23
P1049,-0.94
P1050,-1.22
P1051,-1.26
P1052,-0.26
P1053,-2.55
P1054,-2.1
P1055,-0.62
P1056,-2.04
P1057,-2.44
P1058,-0.57
P1059,-1.83
P1060,-0.27
P1061,-0.85
P1062,-2.43
P1063,-2.51
P1064,-1.32
P1065,-2.74
P1066,-2.44
P1067,-1.12
P1068,-0.41
P1069,-1.95
P1070,-1.52
P1071,-2.79
P1072,-1.71
P1073,-2.82
P1074,-0.81
P1075,-0.28
P1076,-2.89
P1077,-0.71
P1078,-2.82
P1079,-2.62
P1080,-0.22
P1081,-2.2
P1082,-0.62
P1083,-2.94
P1084,-0.75
P1085,-2.7
P1086,-2.47
P1087,-0.67
P1088,-0.19
P1089,-1.13
P1090,-1.87
P1091,-0.11
P1092,-2.38
P1093,-2.09
P1094,-0.74
P1095,-1.38
P1096,-0.89
P1097,-2.47
P1098,-1.39
P1099,-1.44
P1100,-2.76
